원문 질문,쉬운 질문,답변
진료비는 얼마인가요?,돈 얼마나 나와요?,진료 내용에 따라 금액이 달라집니다.
예약 변경은 어떻게 하나요?,예약 바꾸려면 어떻게 해요?,병원에 전화하거나 온라인으로 변경 가능합니다.
예약 취소는 어떻게 하나요?,예약 취소는 어떻게 해요?,병원에 연락하여 취소하시면 됩니다.
진료 기록은 확인할 수 있나요?,내 진료 기록 볼 수 있나요?,병원에 요청하시면 확인 가능합니다.
진단서는 어떻게 발급받나요?,진단서 어떻게 받아요?,진료 후 병원에서 발급 요청하시면 됩니다.
의사 상담은 어떻게 받나요?,의사랑 상담하려면 어떻게 해요?,진료 예약 후 방문하시면 상담 가능합니다.
건강검진은 어떻게 신청하나요?,건강검진 어떻게 받아요?,병원에 예약 후 방문하시면 됩니다.
외래 진료는 무엇인가요?,외래 진료가 뭐예요?,입원하지 않고 병원에 와서 진료받는 것을 말합니다.
재진은 어떻게 하나요?,다시 진료받으려면 어떻게 해요?,이전 진료 후 예약하거나 접수하면 됩니다.
진료카드는 어디서 만드나요?,병원 카드 어디서 만들어요?,접수 창구에서 만들어드립니다.
진료과 변경은 가능한가요?,다른 과로 바꿀 수 있어요?,접수 창구에서 변경 요청하시면 됩니다.
병문안 시간은 언제인가요?,면회는 언제 할 수 있어요?,병원마다 정해진 면회 시간이 있습니다.
병원 위치는 어디인가요?,병원 어디에 있어요?,주소를 확인하거나 지도 앱으로 찾을 수 있습니다.
휠체어는 빌릴 수 있나요?,휠체어 빌릴 수 있어요?,병원에서 무료로 대여해주는 경우가 많습니다.
안내 데스크는 어디에 있나요?,물어볼 곳은 어디 있어요?,병원 입구에 안내 데스크가 있습니다.
응급 상황 시 어떻게 하나요?,급하면 어떻게 해요?,바로 응급실로 가시면 됩니다.
예약 확인은 어떻게 하나요?,예약했는지 확인 어떻게 해요?,병원에 전화하거나 문자로 확인 가능합니다.
진료 대기 번호는 어떻게 확인하나요?,내 순서 어떻게 알아요?,전광판이나 안내 화면에서 확인 가능합니다.
검사 전 준비는 무엇인가요?,검사 전에 뭐 해야 해요?,검사 종류에 따라 금식 등 안내를 따르시면 됩니다.
약 복용 방법은 어떻게 되나요?,약은 어떻게 먹어요?,약봉지에 적힌 방법대로 복용하시면 됩니다.
부작용이 있으면 어떻게 하나요?,약 먹고 이상하면 어떻게 해요?,바로 병원이나 약국에 문의하세요.
병원비는 카드 결제 되나요?,카드로 계산 가능해요?,대부분 카드 결제가 가능합니다.
영수증은 받을 수 있나요?,영수증 받을 수 있어요?,수납 시 요청하시면 발급됩니다.
진료 확인서는 어떻게 받나요?,병원 다녀온 증명서 받을 수 있어요?,병원에서 요청하면 발급 가능합니다.
진료 시간 변경은 가능한가요?,진료 시간 바꿀 수 있어요?,병원에 연락하면 변경 가능합니다.
예약 없이 검사 가능한가요?,검사 바로 받을 수 있어요?,검사 종류에 따라 예약이 필요할 수 있습니다.
병원 내 식당은 있나요?,병원에 밥 먹는 곳 있어요?,대부분 병원에 식당이나 편의시설이 있습니다.
진료 지연 시 어떻게 하나요?,진료 늦어지면 어떻게 해요?,안내를 받거나 기다리시면 됩니다.
검사 비용은 얼마인가요?,검사 비용 얼마예요?,검사 종류에 따라 금액이 다릅니다.
진료 후 주의사항은 무엇인가요?,진료 받고 나서 뭐 조심해야 해요?,의사의 안내에 따라 생활하시면 됩니다.
